|seq|section_name|key_name                                        |value_text                                                                                                                                                                                                                                                                |
|30 |COLUMN      |creature_template_spell.VerifiedBuild           |pos=4;type=int;nullable=YES;default=NULL                                                                                                                                                                                                                                  |
|30 |COLUMN      |creature_template.AIName                        |pos=43;type=char(64);nullable=NO;default=                                                                                                                                                                                                                                 |
|30 |COLUMN      |creature_template.difficulty_entry_1            |pos=2;type=int unsigned;nullable=NO;default=0                                                                                                                                                                                                                             |
|30 |COLUMN      |creature_template.difficulty_entry_2            |pos=3;type=int unsigned;nullable=NO;default=0                                                                                                                                                                                                                             |
|30 |COLUMN      |creature_template.difficulty_entry_3            |pos=4;type=int unsigned;nullable=NO;default=0                                                                                                                                                                                                                             |
|30 |COLUMN      |creature_template.entry                         |pos=1;type=int unsigned;nullable=NO;default=0                                                                                                                                                                                                                             |
|30 |COLUMN      |creature_template.IconName                      |pos=13;type=char(100);nullable=YES;default=NULL                                                                                                                                                                                                                           |
|30 |COLUMN      |creature_template.modelid1                      |pos=7;type=int unsigned;nullable=NO;default=0                                                                                                                                                                                                                             |
|30 |COLUMN      |creature_template.modelid2                      |pos=8;type=int unsigned;nullable=NO;default=0                                                                                                                                                                                                                             |
|30 |COLUMN      |creature_template.modelid3                      |pos=9;type=int unsigned;nullable=NO;default=0                                                                                                                                                                                                                             |
|30 |COLUMN      |creature_template.modelid4                      |pos=10;type=int unsigned;nullable=NO;default=0                                                                                                                                                                                                                            |
|30 |COLUMN      |creature_template.MovementType                  |pos=44;type=tinyint unsigned;nullable=NO;default=0                                                                                                                                                                                                                        |
|30 |COLUMN      |creature_template.name                          |pos=11;type=char(100);nullable=NO;default=0                                                                                                                                                                                                                               |
|30 |COLUMN      |creature_template.ScriptName                    |pos=57;type=char(64);nullable=NO;default=                                                                                                                                                                                                                                 |
|30 |COLUMN      |creature_template.subname                       |pos=12;type=char(100);nullable=YES;default=NULL                                                                                                                                                                                                                           |
|30 |COLUMN      |creature_template.VehicleId                     |pos=40;type=int unsigned;nullable=NO;default=0                                                                                                                                                                                                                            |
|30 |COLUMN      |creature_template.VerifiedBuild                 |pos=59;type=int;nullable=YES;default=NULL                                                                                                                                                                                                                                 |
|30 |COLUMN      |spell_script_names.ScriptName                   |pos=2;type=char(64);nullable=NO;default=NULL                                                                                                                                                                                                                              |
|30 |COLUMN      |spell_script_names.spell_id                     |pos=1;type=int;nullable=NO;default=NULL                                                                                                                                                                                                                                   |
|40 |PREIMAGE    |state                                           |G17B0_DB_PREIMAGE_READY                                                                                                                                                                                                                                                   |
|50 |CREATURE    |27756                                           |name=Ruby Drake;subname=;icon=vehichleCursor;models=25854,0,0,0;level=80-80;faction=35;npcflag=0;unit_flags=0;unit_flags2=2048;dynamicflags=0;VehicleId=70;AIName=;MovementType=0;HoverHeight=1;flags_extra=64;ScriptName=npc_ruby_emerald_amber_drake;VerifiedBuild=12340|
|60 |ACTION_BAR  |27756:0                                         |Spell=50232;VerifiedBuild=12340                                                                                                                                                                                                                                           |
|60 |ACTION_BAR  |27756:1                                         |Spell=50240;VerifiedBuild=12340                                                                                                                                                                                                                                           |
|60 |ACTION_BAR  |27756:2                                         |Spell=50253;VerifiedBuild=12340                                                                                                                                                                                                                                           |
|60 |ACTION_BAR  |27756:5                                         |Spell=53389;VerifiedBuild=12340                                                                                                                                                                                                                                           |
|70 |MOVEMENT    |27756                                           |Ground=0;Swim=1;Flight=1;Rooted=0;Chase=0;Random=0;Pause=NULL                                                                                                                                                                                                             |
|120|SUMMARY     |counts                                          |source_rows=1;source_vehicle_rows=1;target_rows=0;source_actions=4;target_actions=0;candidate_script_bindings=0                                                                                                                                                           |
|130|SUMMARY     |marker                                          |G17B0_DB_PROBE_COMPLETE                                                                                                                                                                                                                                                   |
